T,Cd
0,0
0.125,0.248108
0.25,0.340748
0.375,0.420421
0.5,0.49317
0.625,0.561319
0.75,0.625978
0.875,0.687735
1,0.746909
1.125,0.803668
1.25,0.858085
1.375,0.910173
1.5,0.959902
1.625,1.00722
1.75,1.05206
1.875,1.09433
2,1.13395
2.125,1.17084
2.25,1.2049
2.375,1.23606
2.5,1.26424
2.625,1.28935
2.75,1.31135
2.875,1.33017
3,1.34575
3.125,1.35805
3.25,1.36704
3.375,1.37269
3.5,1.37497
3.625,1.37389
3.75,1.36944
3.875,1.36162
4,1.35046
4.125,1.33597
4.25,1.31819
4.375,1.29716
4.5,1.27294
4.625,1.24557
4.75,1.21513
4.875,1.18169
5,1.14534
5.125,1.10616
5.25,1.06426
5.375,1.01975
5.5,0.972727
5.625,0.923328
5.75,0.871676
5.875,0.817909
6,0.762166
6.125,0.704596
6.25,0.64535
6.375,0.584587
6.5,0.522467
6.625,0.459154
6.75,0.394816
6.875,0.329621
7,0.263738
7.125,0.197335
7.25,0.130581
7.375,0.0636394
7.5,-0.00332607
7.625,-0.0701566
7.75,-0.136697
7.875,-0.202797
8,-0.268307
