T,Cl
0,0
0.125,-0.00125402
0.25,-0.00241784
0.375,-0.00337588
0.5,-0.00421934
0.625,-0.00497935
0.75,-0.00567236
0.875,-0.00631012
1,-0.00690212
1.125,-0.00745599
1.25,-0.00797802
1.375,-0.0084734
1.5,-0.00894627
1.625,-0.00940012
1.75,-0.00983804
1.875,-0.0102613
2,-0.0106721
2.125,-0.0110708
2.25,-0.0114579
2.375,-0.0118333
2.5,-0.012196
2.625,-0.0125451
2.75,-0.012879
2.875,-0.0131961
3,-0.0134943
3.125,-0.0137715
3.25,-0.0140252
3.375,-0.0142534
3.5,-0.0144538
3.625,-0.0146239
3.75,-0.0147618
3.875,-0.0148656
4,-0.0149335
4.125,-0.0149639
4.25,-0.0149558
4.375,-0.0149081
4.5,-0.01482
4.625,-0.0146912
4.75,-0.0145215
4.875,-0.0143108
5,-0.0140596
5.125,-0.0137681
5.25,-0.013437
5.375,-0.0130671
5.5,-0.0126589
5.625,-0.0122135
5.75,-0.0117317
5.875,-0.0112142
6,-0.0106621
6.125,-0.0100757
6.25,-0.00945598
6.375,-0.00880354
6.5,-0.00811895
6.625,-0.00740279
6.75,-0.00665563
6.875,-0.00587806
7,-0.00507083
7.125,-0.00423471
7.25,-0.00337067
7.375,-0.00247988
7.5,-0.00156371
7.625,-0.000623789
7.75,0.000337987
7.875,0.00131947
8,0.00231821
