T,Cl
0,0
0.125,-0.000168119
0.25,-0.000584707
0.375,-0.000864097
0.5,-0.00104473
0.625,-0.00115325
0.75,-0.00121504
0.875,-0.00125522
1,-0.00129671
1.125,-0.00135785
1.25,-0.00145186
1.375,-0.00158661
1.5,-0.00176692
1.625,-0.00199474
1.75,-0.00227029
1.875,-0.00259182
2,-0.00295646
2.125,-0.00336001
2.25,-0.00379725
2.375,-0.00426221
2.5,-0.00474828
2.625,-0.00524848
2.75,-0.00575555
2.875,-0.00626216
3,-0.00676099
3.125,-0.00724493
3.25,-0.00770708
3.375,-0.00814092
3.5,-0.00854035
3.625,-0.00889978
3.75,-0.00921424
3.875,-0.00947934
4,-0.00969142
4.125,-0.00984758
4.25,-0.00994572
4.375,-0.00998457
4.5,-0.00996377
4.625,-0.00988383
4.75,-0.00974622
4.875,-0.0095533
5,-0.00930835
5.125,-0.0090155
5.25,-0.00867971
5.375,-0.00830663
5.5,-0.00790257
5.625,-0.00747424
5.75,-0.0070287
5.875,-0.00657306
6,-0.00611429
6.125,-0.00565893
6.25,-0.00521281
6.375,-0.0047807
6.5,-0.00436604
6.625,-0.00397067
6.75,-0.00359447
6.875,-0.00323536
7,-0.00288861
7.125,-0.0025482
7.25,-0.00220546
7.375,-0.00185061
7.5,-0.00147309
7.625,-0.00106269
7.75,-0.00061062
7.875,-0.000110803
8,0.000439096
