T,Cd
0,0
0.0625,0.333191
0.125,0.491599
0.1875,0.633708
0.25,0.768601
0.3125,0.899617
0.375,1.02826
0.4375,1.15525
0.5,1.28095
0.5625,1.40554
0.625,1.52908
0.6875,1.65158
0.75,1.77301
0.8125,1.89334
0.875,2.01251
0.9375,2.13046
1,2.24713
1.0625,2.36245
1.125,2.47636
1.1875,2.58879
1.25,2.69967
1.3125,2.80894
1.375,2.91653
1.4375,3.02239
1.5,3.12643
1.5625,3.22861
1.625,3.32886
1.6875,3.42711
1.75,3.52332
1.8125,3.61741
1.875,3.70934
1.9375,3.79904
2,3.88646
2.0625,3.97156
2.125,4.05427
2.1875,4.13454
2.25,4.21233
2.3125,4.28759
2.375,4.36027
2.4375,4.43032
2.5,4.49771
2.5625,4.56239
2.625,4.62433
2.6875,4.68348
2.75,4.7398
2.8125,4.79327
2.875,4.84384
2.9375,4.89149
3,4.93619
3.0625,4.97791
3.125,5.01663
3.1875,5.05231
3.25,5.08494
3.3125,5.1145
3.375,5.14097
3.4375,5.16433
3.5,5.18456
3.5625,5.20166
3.625,5.21561
3.6875,5.22641
3.75,5.23404
3.8125,5.23851
3.875,5.23981
3.9375,5.23793
4,5.23289
4.0625,5.22468
4.125,5.2133
4.1875,5.19877
4.25,5.18109
4.3125,5.16028
4.375,5.13634
4.4375,5.10929
4.5,5.07916
4.5625,5.04594
4.625,5.00968
4.6875,4.97038
4.75,4.92808
4.8125,4.8828
4.875,4.83456
4.9375,4.78341
5,4.72936
5.0625,4.67245
5.125,4.61272
5.1875,4.5502
5.25,4.48494
5.3125,4.41697
5.375,4.34634
5.4375,4.27308
5.5,4.19725
5.5625,4.11889
5.625,4.03805
5.6875,3.95477
5.75,3.86912
5.8125,3.78114
5.875,3.69088
5.9375,3.59841
6,3.50378
6.0625,3.40704
6.125,3.30826
6.1875,3.20749
6.25,3.1048
6.3125,3.00026
6.375,2.89392
6.4375,2.78585
6.5,2.67612
6.5625,2.56479
6.625,2.45192
6.6875,2.33761
6.75,2.22189
6.8125,2.10486
6.875,1.98658
6.9375,1.86712
7,1.74656
7.0625,1.62496
7.125,1.50241
7.1875,1.37897
7.25,1.25472
7.3125,1.12974
7.375,1.0041
7.4375,0.877878
7.5,0.751148
7.5625,0.623988
7.625,0.496475
7.6875,0.368685
7.75,0.240695
7.8125,0.112583
7.875,-0.0155749
7.9375,-0.143701
8,-0.271719
