T,Cl
0,0
0.125,-0.00289428
0.25,-0.00543862
0.375,-0.00776917
0.5,-0.00998386
0.625,-0.0121092
0.75,-0.0141574
0.875,-0.0161354
1,-0.0180471
1.125,-0.019894
1.25,-0.0216763
1.375,-0.0233929
1.5,-0.0250423
1.625,-0.0266222
1.75,-0.0281305
1.875,-0.0295646
2,-0.0309222
2.125,-0.032201
2.25,-0.0333989
2.375,-0.0345138
2.5,-0.0355441
2.625,-0.0364882
2.75,-0.0373446
2.875,-0.0381123
3,-0.0387902
3.125,-0.0393775
3.25,-0.0398736
3.375,-0.0402779
3.5,-0.04059
3.625,-0.0408097
3.75,-0.0409368
3.875,-0.0409712
4,-0.0409131
4.125,-0.0407625
4.25,-0.0405197
4.375,-0.040185
4.5,-0.0397589
4.625,-0.0392417
4.75,-0.0386343
4.875,-0.0379373
5,-0.0371516
5.125,-0.0362782
5.25,-0.0353182
5.375,-0.0342731
5.5,-0.0331444
5.625,-0.0319337
5.75,-0.030643
5.875,-0.0292745
6,-0.0278305
6.125,-0.0263137
6.25,-0.0247271
6.375,-0.023074
6.5,-0.0213577
6.625,-0.0195821
6.75,-0.0177513
6.875,-0.0158696
7,-0.0139418
7.125,-0.0119726
7.25,-0.00996744
7.375,-0.00793156
7.5,-0.00587061
7.625,-0.0037904
7.75,-0.00169685
7.875,0.00040397
8,0.00250595
