T,Cd
0,0
0.125,0.481336
0.25,0.763257
0.375,1.02568
0.5,1.27983
0.625,1.52874
0.75,1.77314
0.875,2.01301
1,2.248
1.125,2.47766
1.25,2.70149
1.375,2.91899
1.5,3.12965
1.625,3.33295
1.75,3.5284
1.875,3.71553
2,3.89386
2.125,4.06296
2.25,4.22238
2.375,4.37173
2.5,4.51063
2.625,4.6387
2.75,4.75563
2.875,4.86109
3,4.95482
3.125,5.03657
3.25,5.10611
3.375,5.16327
3.5,5.20788
3.625,5.23981
3.75,5.25899
3.875,5.26535
4,5.25887
4.125,5.23957
4.25,5.20747
4.375,5.16267
4.5,5.10526
4.625,5.03541
4.75,4.95327
4.875,4.85907
5,4.75303
5.125,4.63544
5.25,4.50659
5.375,4.36681
5.5,4.21646
5.625,4.05593
5.75,3.88562
5.875,3.70597
6,3.51744
6.125,3.3205
6.25,3.11565
6.375,2.90342
6.5,2.68433
6.625,2.45892
6.75,2.22776
6.875,1.99143
7,1.75049
7.125,1.50554
7.25,1.25717
7.375,1.00597
7.5,0.752543
7.625,0.49749
7.75,0.241407
7.875,-0.0151088
8,-0.271462
