T,Cl
0,0
0.125,-0.000854238
0.25,-0.00323993
0.375,-0.00689499
0.5,-0.0116509
0.625,-0.0173372
0.75,-0.0237673
0.875,-0.030735
1,-0.0380126
1.125,-0.0453498
1.25,-0.0524767
1.375,-0.0591106
1.5,-0.0649658
1.625,-0.069769
1.75,-0.0732759
1.875,-0.0752894
2,-0.0756763
2.125,-0.0752908
2.25,-0.0750842
2.375,-0.0750253
2.5,-0.0750095
2.625,-0.0750024
2.75,-0.0749946
2.875,-0.0749857
3,-0.0749766
3.125,-0.0749682
3.25,-0.0749609
3.375,-0.074955
3.5,-0.0749501
3.625,-0.0749463
3.75,-0.0749435
3.875,-0.0749413
4,-0.0749397
4.125,-0.0749385
4.25,-0.0749376
4.375,-0.074937
4.5,-0.0749365
4.625,-0.0749362
4.75,-0.074936
4.875,-0.074936
5,-0.0749359
5.125,-0.0749356
5.25,-0.0749356
5.375,-0.0749357
5.5,-0.0749357
5.625,-0.0749355
5.75,-0.0749356
5.875,-0.0749355
6,-0.0749355
