T,Cd
0,0
0.125,0.0959172
0.25,0.340037
0.375,0.679484
0.5,1.09651
0.625,1.57352
0.75,2.09156
0.875,2.63052
1,3.16959
1.125,3.68801
1.25,4.16584
1.375,4.5847
1.5,4.92844
1.625,5.1838
1.75,5.34091
1.875,5.39368
2,5.34002
2.125,5.27775
2.25,5.26568
2.375,5.26108
2.5,5.25908
2.625,5.2581
2.75,5.25757
2.875,5.25725
3,5.25705
3.125,5.2569
3.25,5.2568
3.375,5.25672
3.5,5.25666
3.625,5.25661
3.75,5.25657
3.875,5.25654
4,5.25651
4.125,5.25649
4.25,5.25647
4.375,5.25645
4.5,5.25644
4.625,5.25643
4.75,5.25642
4.875,5.25641
5,5.25641
5.125,5.2564
5.25,5.2564
5.375,5.2564
5.5,5.25639
5.625,5.25639
5.75,5.25639
5.875,5.25639
6,5.25638
