T,Cd
0,0
0.125,0.489878
0.25,0.77458
0.375,1.03927
0.5,1.29552
0.625,1.54637
0.75,1.79256
0.875,2.03403
1,2.27043
1.125,2.50129
1.25,2.7261
1.375,2.94434
1.5,3.1555
1.625,3.35907
1.75,3.55456
1.875,3.74151
2,3.91945
2.125,4.08796
2.25,4.24664
2.375,4.39509
2.5,4.53295
2.625,4.6599
2.75,4.77561
2.875,4.87982
3,4.97226
3.125,5.05271
3.25,5.12097
3.375,5.17688
3.5,5.2203
3.625,5.25113
3.75,5.26928
3.875,5.27471
4,5.26741
4.125,5.24739
4.25,5.21471
4.375,5.16945
4.5,5.1117
4.625,5.04162
4.75,4.95937
4.875,4.86515
5,4.7592
5.125,4.64176
5.25,4.51313
5.375,4.37362
5.5,4.22356
5.625,4.06333
5.75,3.89331
5.875,3.71391
6,3.52558
6.125,3.32876
6.25,3.12394
6.375,2.9116
6.5,2.69228
6.625,2.46649
6.75,2.23479
6.875,1.99773
7,1.75589
7.125,1.50986
7.25,1.26022
7.375,1.00759
7.5,0.752565
7.625,0.495768
7.75,0.237815
7.875,-0.0206698
8,-0.279065
