T,Cd
0,0
0.03125,0.248201
0.0625,0.341452
0.09375,0.422416
0.125,0.497304
0.15625,0.568601
0.1875,0.637569
0.21875,0.704941
0.25,0.771169
0.28125,0.836551
0.3125,0.901286
0.34375,0.965507
0.375,1.02931
0.40625,1.09275
0.4375,1.15587
0.46875,1.21871
0.5,1.28128
0.53125,1.3436
0.5625,1.40567
0.59375,1.46749
0.625,1.52906
0.65625,1.59038
0.6875,1.65144
0.71875,1.71225
0.75,1.77279
0.78125,1.83306
0.8125,1.89305
0.84375,1.95275
0.875,2.01216
0.90625,2.07126
0.9375,2.13006
0.96875,2.18853
1,2.24668
1.03125,2.30449
1.0625,2.36196
1.09375,2.41907
1.125,2.47583
1.15625,2.53221
1.1875,2.58822
1.21875,2.64384
1.25,2.69906
1.28125,2.75389
1.3125,2.8083
1.34375,2.8623
1.375,2.91586
1.40625,2.96899
1.4375,3.02168
1.46875,3.07392
1.5,3.12569
1.53125,3.17701
1.5625,3.22784
1.59375,3.27819
1.625,3.32806
1.65625,3.37742
1.6875,3.42628
1.71875,3.47463
1.75,3.52246
1.78125,3.56976
1.8125,3.61652
1.84375,3.66274
1.875,3.70842
1.90625,3.75354
1.9375,3.79809
1.96875,3.84208
2,3.88549
2.03125,3.92832
2.0625,3.97055
2.09375,4.0122
2.125,4.05323
2.15625,4.09366
2.1875,4.13348
2.21875,4.17268
2.25,4.21124
2.28125,4.24918
2.3125,4.28648
2.34375,4.32312
2.375,4.35913
2.40625,4.39447
2.4375,4.42915
2.46875,4.46318
2.5,4.49652
2.53125,4.52919
2.5625,4.56118
2.59375,4.59248
2.625,4.62309
2.65625,4.653
2.6875,4.68221
2.71875,4.71072
2.75,4.73851
2.78125,4.76559
2.8125,4.79196
2.84375,4.8176
2.875,4.84251
2.90625,4.86669
2.9375,4.89014
2.96875,4.91285
3,4.93482
3.03125,4.95604
3.0625,4.97652
3.09375,4.99624
3.125,5.01521
3.15625,5.03342
3.1875,5.05088
3.21875,5.06756
3.25,5.08349
3.28125,5.09864
3.3125,5.11302
3.34375,5.12664
3.375,5.13948
3.40625,5.15153
3.4375,5.16281
3.46875,5.17332
3.5,5.18303
3.53125,5.19197
3.5625,5.20012
3.59375,5.20748
3.625,5.21405
3.65625,5.21984
3.6875,5.22484
3.71875,5.22904
3.75,5.23246
3.78125,5.23508
3.8125,5.23691
3.84375,5.23795
3.875,5.2382
3.90625,5.23765
3.9375,5.23631
3.96875,5.23418
4,5.23126
4.03125,5.22754
4.0625,5.22303
4.09375,5.21774
4.125,5.21165
4.15625,5.20478
4.1875,5.19711
4.21875,5.18866
4.25,5.17943
4.28125,5.16941
4.3125,5.15861
4.34375,5.14703
4.375,5.13467
4.40625,5.12153
4.4375,5.10762
4.46875,5.09293
4.5,5.07748
4.53125,5.06125
4.5625,5.04426
4.59375,5.02651
4.625,5.008
4.65625,4.98873
4.6875,4.96871
4.71875,4.94793
4.75,4.9264
4.78125,4.90414
4.8125,4.88113
4.84375,4.85738
4.875,4.8329
4.90625,4.80769
4.9375,4.78175
4.96875,4.75508
5,4.7277
5.03125,4.69961
5.0625,4.67081
5.09375,4.6413
5.125,4.61109
5.15625,4.58018
5.1875,4.54859
5.21875,4.5163
5.25,4.48333
5.28125,4.44969
5.3125,4.41538
5.34375,4.3804
5.375,4.34476
5.40625,4.30847
5.4375,4.27152
5.46875,4.23393
5.5,4.19571
5.53125,4.15685
5.5625,4.11737
5.59375,4.07726
5.625,4.03654
5.65625,3.99521
5.6875,3.95329
5.71875,3.91077
5.75,3.86766
5.78125,3.82397
5.8125,3.7797
5.84375,3.73487
5.875,3.68947
5.90625,3.64353
5.9375,3.59702
5.96875,3.54999
6,3.50242
6.03125,3.45432
6.0625,3.40571
6.09375,3.35659
6.125,3.30696
6.15625,3.25684
6.1875,3.20622
6.21875,3.15514
6.25,3.10357
6.28125,3.05154
6.3125,2.99905
6.34375,2.94613
6.375,2.89275
6.40625,2.83895
6.4375,2.78472
6.46875,2.73007
6.5,2.67502
6.53125,2.61956
6.5625,2.56372
6.59375,2.5075
6.625,2.4509
6.65625,2.39394
6.6875,2.33662
6.71875,2.27895
6.75,2.22094
6.78125,2.16261
6.8125,2.10395
6.84375,2.04498
6.875,1.98571
6.90625,1.92615
6.9375,1.86629
6.96875,1.80616
7,1.74577
7.03125,1.68511
7.0625,1.62421
7.09375,1.56307
7.125,1.5017
7.15625,1.44011
7.1875,1.37831
7.21875,1.3163
7.25,1.2541
7.28125,1.19172
7.3125,1.12916
7.34375,1.06644
7.375,1.00357
7.40625,0.940547
7.4375,0.877388
7.46875,0.814104
7.5,0.750705
7.53125,0.687195
7.5625,0.623588
7.59375,0.559894
7.625,0.49612
7.65625,0.432278
7.6875,0.368375
7.71875,0.304423
7.75,0.240431
7.78125,0.176408
7.8125,0.112365
7.84375,0.0483096
7.875,-0.0157475
7.90625,-0.0797963
7.9375,-0.143828
7.96875,-0.207832
8,-0.271799
