T,Cl
0,0
0.03125,-0.000168183
0.0625,-0.000646473
0.09375,-0.00103591
0.125,-0.0013695
0.15625,-0.00166658
0.1875,-0.00193924
0.21875,-0.00219494
0.25,-0.00243818
0.28125,-0.00267176
0.3125,-0.00289742
0.34375,-0.0031163
0.375,-0.00332924
0.40625,-0.00353678
0.4375,-0.00373939
0.46875,-0.00393741
0.5,-0.00413109
0.53125,-0.00432088
0.5625,-0.00450659
0.59375,-0.00468893
0.625,-0.00486753
0.65625,-0.00504312
0.6875,-0.0052152
0.71875,-0.00538446
0.75,-0.00555077
0.78125,-0.00571429
0.8125,-0.00587512
0.84375,-0.00603348
0.875,-0.00618903
0.90625,-0.00634246
0.9375,-0.00649351
0.96875,-0.00664239
1,-0.00678903
1.03125,-0.00693378
1.0625,-0.00707648
1.09375,-0.00721714
1.125,-0.007356
1.15625,-0.0074934
1.1875,-0.0076288
1.21875,-0.00776246
1.25,-0.00789495
1.28125,-0.00802563
1.3125,-0.00815486
1.34375,-0.00828279
1.375,-0.00840933
1.40625,-0.0085344
1.4375,-0.00865816
1.46875,-0.00878123
1.5,-0.00890276
1.53125,-0.00902297
1.5625,-0.00914219
1.59375,-0.00926057
1.625,-0.0093778
1.65625,-0.00949374
1.6875,-0.00960922
1.71875,-0.00972349
1.75,-0.00983675
1.78125,-0.00994941
1.8125,-0.0100607
1.84375,-0.0101716
1.875,-0.0102815
1.90625,-0.0103905
1.9375,-0.0104992
1.96875,-0.010606
2,-0.0107131
2.03125,-0.0108186
2.0625,-0.010924
2.09375,-0.0110282
2.125,-0.0111317
2.15625,-0.0112345
2.1875,-0.0113365
2.21875,-0.0114376
2.25,-0.0115386
2.28125,-0.0116372
2.3125,-0.0117363
2.34375,-0.0118344
2.375,-0.0119314
2.40625,-0.0120274
2.4375,-0.0121226
2.46875,-0.0122175
2.5,-0.0123108
2.53125,-0.0124037
2.5625,-0.0124954
2.59375,-0.0125859
2.625,-0.0126757
2.65625,-0.0127644
2.6875,-0.0128519
2.71875,-0.0129385
2.75,-0.013024
2.78125,-0.0131083
2.8125,-0.0131914
2.84375,-0.0132735
2.875,-0.0133537
2.90625,-0.0134337
2.9375,-0.0135118
2.96875,-0.0135885
3,-0.013664
3.03125,-0.0137379
3.0625,-0.0138107
3.09375,-0.0138819
3.125,-0.0139515
3.15625,-0.0140196
3.1875,-0.0140862
3.21875,-0.0141509
3.25,-0.0142145
3.28125,-0.014276
3.3125,-0.0143357
3.34375,-0.0143943
3.375,-0.0144505
3.40625,-0.0145049
3.4375,-0.0145577
3.46875,-0.0146084
3.5,-0.0146572
3.53125,-0.0147042
3.5625,-0.0147491
3.59375,-0.014792
3.625,-0.0148333
3.65625,-0.0148713
3.6875,-0.0149083
3.71875,-0.0149431
3.75,-0.0149749
3.78125,-0.0150053
3.8125,-0.0150331
3.84375,-0.0150589
3.875,-0.0150825
3.90625,-0.0151032
3.9375,-0.0151219
3.96875,-0.0151381
4,-0.0151524
4.03125,-0.015164
4.0625,-0.0151742
4.09375,-0.0151793
4.125,-0.0151845
4.15625,-0.0151859
4.1875,-0.0151857
4.21875,-0.0151824
4.25,-0.0151767
4.28125,-0.0151684
4.3125,-0.0151583
4.34375,-0.0151448
4.375,-0.015129
4.40625,-0.0151107
4.4375,-0.0150899
4.46875,-0.0150663
4.5,-0.0150403
4.53125,-0.0150116
4.5625,-0.0149804
4.59375,-0.0149465
4.625,-0.0149103
4.65625,-0.0148712
4.6875,-0.0148296
4.71875,-0.0147854
4.75,-0.0147387
4.78125,-0.0146892
4.8125,-0.0146374
4.84375,-0.0145833
4.875,-0.0145256
4.90625,-0.014466
4.9375,-0.014404
4.96875,-0.0143394
5,-0.0142717
5.03125,-0.0142019
5.0625,-0.0141297
5.09375,-0.0140547
5.125,-0.0139775
5.15625,-0.0138968
5.1875,-0.0138156
5.21875,-0.0137302
5.25,-0.0136429
5.28125,-0.013553
5.3125,-0.0134612
5.34375,-0.0133663
5.375,-0.0132692
5.40625,-0.01317
5.4375,-0.0130679
5.46875,-0.0129639
5.5,-0.0128566
5.53125,-0.0127489
5.5625,-0.0126372
5.59375,-0.0125237
5.625,-0.0124076
5.65625,-0.0122894
